time,scaleWeight,scaleUnit
1651210736.3298554,0.0,g
1651210737.3309631,60.71,g
1651210738.3387327,60.71,g
1651210739.3491366,60.71,g
1651210740.3516865,60.71,g
1651210741.353706,7.73,g
1651210742.3545263,7.72,g
1651210743.366164,7.72,g
1651210744.3811922,7.72,g
1651210745.390857,7.72,g
1651210746.401241,7.72,g
1651210747.4080417,7.72,g
1651210748.422219,55.02,g
1651210749.4293287,55.02,g
1651210750.4328249,55.02,g
time,scaleWeight,scaleUnit
1651210846.3518968,0.0,g
1651210847.3565862,54.98,g
1651210848.3588898,54.98,g
1651210849.368146,54.98,g
1651210850.382772,54.98,g
1651210851.3932464,54.98,g
1651210852.3945374,54.97,g
1651210853.405937,54.97,g
1651210854.4203906,54.97,g
1651210855.4329429,54.98,g
1651210856.435523,54.97,g
1651210857.4428415,54.98,g
1651210858.4562485,54.98,g
1651210859.468572,54.98,g
1651210860.484288,54.97,g
1651210861.4869545,54.98,g
1651210862.5016985,54.97,g
1651210863.5090718,54.98,g
1651210864.510087,54.98,g
1651210865.5244136,54.97,g
1651210866.535805,54.97,g
1651210867.5433042,54.97,g
1651210868.5553586,54.97,g
1651210869.5678017,54.97,g
1651210870.5813847,54.97,g
1651210871.5817285,54.97,g
1651210872.5951145,54.97,g
1651210873.5978298,54.96,g
1651210874.6084793,54.97,g
1651210875.6167824,54.97,g
1651210876.6310146,54.97,g
1651210877.634623,54.96,g
1651210878.6441631,54.96,g
1651210879.6549733,54.96,g
1651210880.6664298,54.96,g
1651210881.6676645,54.96,g
1651210882.6766644,54.96,g
1651210883.6778564,54.96,g
1651210884.6850922,54.96,g
1651210885.6864734,54.96,g
1651210886.6994207,54.96,g
1651210887.7070029,54.96,g
1651210888.7224042,54.96,g
1651210889.7238538,54.96,g
1651210890.7343285,54.96,g
1651210891.7395172,54.96,g
1651210892.7408051,54.96,g
1651210893.7511668,54.96,g
1651210894.7639246,54.96,g
1651210895.7661743,54.96,g
1651210896.7799711,54.95,g
1651210897.7878692,54.95,g
1651210898.7886653,54.95,g
1651210899.80022,54.95,g
1651210900.8046474,54.95,g
1651210901.817275,54.95,g
1651210902.831663,54.95,g
1651210903.8420322,54.95,g
1651210904.8421028,54.95,g
1651210905.8506725,54.95,g
1651210906.863079,54.95,g
1651210907.8639796,54.95,g
1651210908.8727195,54.95,g
1651210909.8754728,54.95,g
1651210910.8766232,54.95,g
1651210911.8904934,54.95,g
1651210912.9011543,54.95,g
1651210913.9018483,54.95,g
1651210914.9158418,54.95,g
1651210915.9255948,54.95,g
1651210916.9311402,54.95,g
1651210917.9345946,54.95,g
1651210918.9387708,54.94,g
1651210919.9449046,54.94,g
1651210920.9474607,54.94,g
1651210921.9589672,54.94,g
1651210922.9732492,54.94,g
1651210923.9852388,54.94,g
1651210924.9964938,54.94,g
1651210925.9984303,54.94,g
1651210927.0095282,54.94,g
1651210928.0241768,54.94,g
1651210929.0338929,54.94,g
1651210930.0396464,54.94,g
1651210931.0446825,54.94,g
1651210932.0555012,54.94,g
1651210933.0662189,54.94,g
1651210934.0730622,54.94,g
1651210935.0742707,54.94,g
1651210936.081405,54.94,g
1651210937.0872126,54.94,g
1651210938.1004438,54.94,g
1651210939.1101453,54.94,g
1651210940.1247404,54.93,g
1651210941.137446,54.93,g
1651210942.143974,54.93,g
1651210943.1482766,54.94,g
1651210944.151086,54.94,g
1651210945.162849,54.93,g
1651210946.1749961,54.94,g
1651210947.176422,54.94,g
1651210948.1781116,54.94,g
1651210949.1921716,54.94,g
1651210950.2001903,54.94,g
1651210951.2017097,54.93,g
1651210952.2159364,54.93,g
1651210953.221211,54.93,g
1651210954.235151,54.93,g
1651210955.2434783,54.93,g
1651210956.2521486,54.93,g
1651210957.252522,54.93,g
1651210958.2536442,54.93,g
1651210959.2627194,54.93,g
1651210960.273498,54.93,g
1651210961.2773678,54.93,g
1651210962.2782536,54.93,g
1651210963.284202,54.93,g
1651210964.2868085,54.92,g
1651210965.2875957,54.92,g
1651210966.2939856,54.92,g
1651210967.2980876,54.92,g
1651210968.3060544,54.93,g
1651210969.309116,54.92,g
1651210970.3101354,54.92,g
1651210971.324564,54.92,g
1651210972.3333755,54.92,g
1651210973.3412786,54.92,g
1651210974.344375,54.92,g
1651210975.3574743,54.92,g
1651210976.3591578,54.92,g
1651210977.3670006,54.92,g
1651210978.3700051,54.92,g
1651210979.3836932,54.92,g
1651210980.384588,54.92,g
1651210981.3975163,54.92,g
1651210982.4040785,54.91,g
1651210983.4174035,54.91,g
1651210984.4327328,54.91,g
1651210985.437349,54.91,g
1651210986.4530342,54.91,g
1651210987.460161,54.91,g
1651210988.463878,54.91,g
1651210989.4768608,54.91,g
1651210990.4800038,54.91,g
1651210991.4864779,54.91,g
1651210992.4915767,54.91,g
1651210993.5082183,54.91,g
1651210994.5117016,54.91,g
1651210995.5250676,54.91,g
1651210996.5263064,54.91,g
1651210997.5404062,54.91,g
1651210998.5421596,54.91,g
1651210999.548213,54.91,g
1651211000.5510652,54.91,g
1651211001.5609767,54.91,g
1651211002.5611823,54.91,g
1651211003.5631814,54.9,g
1651211004.5758672,54.9,g
1651211005.5794454,54.9,g
1651211006.5863428,54.9,g
1651211007.6016085,54.9,g
1651211008.6119452,54.91,g
1651211009.6228914,54.91,g
1651211010.624871,54.91,g
1651211011.6371202,54.91,g
1651211012.6502435,54.9,g
1651211013.6623585,54.9,g
1651211014.6754107,54.9,g
1651211015.6790988,54.9,g
1651211016.6833892,54.9,g
1651211017.687157,54.9,g
1651211018.6881688,54.9,g
1651211019.7004926,54.9,g
1651211020.7085235,54.9,g
1651211021.7150733,54.9,g
1651211022.7196429,54.9,g
1651211023.7284088,54.9,g
1651211024.7319615,54.9,g
1651211025.7320995,54.9,g
1651211026.7391832,54.9,g
1651211027.7404945,54.9,g
1651211028.7501326,54.89,g
1651211029.7612891,54.89,g
1651211030.7653127,54.89,g
1651211031.7757905,54.89,g
1651211032.780708,54.89,g
1651211033.7935975,54.89,g
1651211034.8048697,54.89,g
1651211035.8122022,54.89,g
1651211036.8197885,54.89,g
1651211037.8321822,54.89,g
1651211038.8377867,54.89,g
1651211039.844338,54.89,g
1651211040.8490684,54.88,g
1651211041.861737,54.89,g
1651211042.8644643,54.89,g
1651211043.8770034,54.89,g
1651211044.8836927,54.88,g
1651211045.888082,54.89,g
1651211046.8893774,54.89,g
1651211047.8917708,54.89,g
1651211048.89302,54.89,g
1651211049.9046066,54.89,g
1651211050.906726,54.88,g
1651211051.9164295,54.88,g
1651211052.926299,54.89,g
1651211053.9366434,54.89,g
1651211054.9503827,54.89,g
1651211055.9652154,54.89,g
1651211056.9747171,54.89,g
1651211057.9781246,54.88,g
1651211058.9878604,54.88,g
1651211059.993219,54.88,g
1651211061.0029557,54.88,g
1651211062.0153987,54.88,g
1651211063.0302305,54.88,g
1651211064.0351493,54.88,g
1651211065.0470002,54.88,g
1651211066.0525527,54.88,g
1651211067.0610802,54.88,g
1651211068.0666482,54.88,g
1651211069.0703452,54.88,g
1651211070.072661,54.88,g
1651211071.0842545,54.88,g
1651211072.0853138,54.88,g
1651211073.0882182,54.88,g
1651211074.0947678,54.88,g
1651211075.1037385,54.88,g
1651211076.1117017,54.88,g
1651211077.1120076,54.88,g
1651211078.1168492,54.88,g
1651211079.1282523,54.88,g
1651211080.1290615,54.88,g
1651211081.1435394,54.88,g
1651211082.1532695,54.88,g
1651211083.167572,54.87,g
1651211084.17144,54.87,g
1651211085.184253,54.87,g
1651211086.1966786,54.87,g
1651211087.2105253,54.87,g
1651211088.210647,54.87,g
1651211089.2199924,54.87,g
1651211090.2212837,54.87,g
1651211091.2301698,54.87,g
1651211092.2448182,54.87,g
1651211093.2574086,54.86,g
1651211094.2585864,54.86,g
1651211095.2718098,54.86,g
1651211096.2829747,54.86,g
1651211097.2975557,54.86,g
1651211098.300298,54.86,g
1651211099.3109474,54.86,g
1651211100.3159342,54.86,g
1651211101.3251274,54.86,g
1651211102.3359957,54.86,g
1651211103.3387988,54.86,g
1651211104.348297,54.86,g
1651211105.3577013,54.86,g
1651211106.359677,54.86,g
1651211107.360272,54.86,g
1651211108.3732643,54.86,g
1651211109.3843176,54.86,g
1651211110.3943837,54.86,g
1651211111.397384,54.86,g
1651211112.4036372,54.86,g
1651211113.418193,54.86,g
1651211114.432515,54.86,g
1651211115.448118,54.86,g
1651211116.4541993,54.86,g
1651211117.4581606,54.86,g
1651211118.4634523,54.86,g
1651211119.4669747,54.86,g
1651211120.4744785,54.86,g
1651211121.4849043,54.86,g
1651211122.487182,54.86,g
1651211123.4958415,54.86,g
1651211124.5059435,54.86,g
1651211125.5068872,54.86,g
1651211126.522375,54.85,g
1651211127.5284646,54.85,g
1651211128.5348024,54.85,g
1651211129.53552,54.85,g
1651211130.5463047,54.85,g
1651211131.5563445,54.85,g
1651211132.558488,54.85,g
1651211133.5697136,54.85,g
1651211134.5836308,54.85,g
1651211135.589556,54.85,g
1651211136.592521,54.85,g
1651211137.6007156,54.85,g
1651211138.6092389,54.85,g
1651211139.6171753,54.85,g
1651211140.6282573,54.85,g
1651211141.6352038,54.85,g
1651211142.648295,54.85,g
1651211143.652938,54.85,g
1651211144.665817,54.85,g
1651211145.672983,54.85,g
1651211146.6775196,54.85,g
1651211147.6893325,54.85,g
1651211148.7007265,54.85,g
1651211149.7154076,54.85,g
1651211150.7215695,54.85,g
1651211151.7240596,54.85,g
1651211152.7249773,54.85,g
1651211153.7307665,54.85,g
1651211154.7351334,54.85,g
1651211155.7365055,54.84,g
1651211156.7416477,54.84,g
1651211157.7550054,54.85,g
1651211158.768346,54.84,g
1651211159.7800393,54.84,g
1651211160.7850604,54.84,g
1651211161.793734,54.84,g
1651211162.7999277,54.84,g
1651211163.802856,54.84,g
1651211164.808393,54.84,g
1651211165.8092606,54.84,g
1651211166.814943,54.84,g
1651211167.8210988,54.84,g
1651211168.826273,54.84,g
1651211169.8373218,54.84,g
1651211170.8410594,54.84,g
1651211171.8506231,54.83,g
1651211172.855165,54.83,g
1651211173.8567996,54.83,g
1651211174.862144,54.83,g
1651211175.8713217,54.84,g
1651211176.8861544,54.83,g
1651211177.8929918,54.84,g
1651211178.8980627,54.83,g
1651211179.9064338,54.83,g
1651211180.9140518,54.83,g
1651211181.9254339,54.83,g
1651211182.9380302,54.83,g
1651211183.9495282,54.83,g
1651211184.9527004,54.83,g
1651211185.9650764,54.83,g
1651211186.976154,54.83,g
1651211187.9762714,54.83,g
1651211188.9878452,54.83,g
1651211189.9885032,54.83,g
1651211190.9972258,54.83,g
1651211191.9994283,54.83,g
1651211193.0077798,54.83,g
1651211194.0185,54.83,g
1651211195.024496,54.83,g
1651211196.0389988,54.83,g
1651211197.0495744,54.83,g
1651211198.0559387,54.83,g
1651211199.0591183,54.83,g
1651211200.0615823,54.83,g
1651211201.0970342,54.83,g
1651211202.1062307,54.83,g
1651211203.1177278,54.83,g
1651211204.1277888,54.83,g
1651211205.1290028,54.83,g
1651211206.1309087,54.83,g
1651211207.137392,54.83,g
1651211208.1398442,54.82,g
1651211209.1442444,54.81,g
1651211210.156268,54.81,g
1651211211.1622303,54.81,g
1651211212.1745365,54.82,g
1651211213.1818266,54.82,g
1651211214.1915784,54.82,g
1651211215.1994224,54.82,g
1651211216.2131593,54.82,g
1651211217.2214627,54.82,g
1651211218.222116,54.82,g
1651211219.2258952,54.82,g
1651211220.232959,54.82,g
1651211221.2473152,54.82,g
1651211222.2624896,54.82,g
1651211223.2688217,54.82,g
1651211224.2788553,54.82,g
1651211225.2927437,54.82,g
1651211226.2989895,54.82,g
1651211227.3116016,54.81,g
1651211228.312534,54.81,g
1651211229.3266125,54.81,g
1651211230.3278275,54.81,g
1651211231.3340554,54.81,g
1651211232.3451903,54.81,g
1651211233.348405,54.81,g
1651211234.3493152,54.81,g
1651211235.3539605,54.81,g
1651211236.3571343,54.81,g
1651211237.3654943,54.81,g
1651211238.3782382,54.81,g
1651211239.3799086,54.81,g
1651211240.391687,54.81,g
1651211241.3953786,54.81,g
1651211242.402645,54.81,g
1651211243.4083173,54.81,g
1651211244.422307,54.81,g
1651211245.434378,54.8,g
1651211246.435701,54.81,g
1651211247.440301,54.81,g
1651211248.4541366,54.81,g
1651211249.4588592,54.8,g
1651211250.4628458,54.8,g
time,scaleWeight,scaleUnit
1651211252.7217748,0.0,g
1651211253.7247937,54.8,g
1651211254.732548,54.8,g
1651211255.7436068,54.8,g
1651211256.7588475,54.8,g
time,scaleWeight,scaleUnit
1651211315.9635882,0.0,g
1651211316.9666042,54.78,g
1651211317.979839,54.78,g
1651211318.9928937,54.77,g
1651211319.9932342,54.77,g
1651211321.00696,54.77,g
1651211322.009163,54.77,g
1651211323.019115,54.77,g
1651211324.0327995,54.77,g
1651211325.0389245,54.77,g
1651211326.0405552,54.77,g
1651211327.0497463,54.77,g
1651211328.0550134,54.77,g
1651211329.0584402,54.77,g
1651211330.0592072,54.77,g
1651211331.0604918,54.77,g
1651211332.0653377,54.77,g
1651211333.068758,54.77,g
1651211334.0828285,54.77,g
1651211335.0951653,54.77,g
1651211336.0955346,54.77,g
time,scaleWeight,scaleUnit
1651211423.5983973,0.0,g
1651211424.607281,54.72,g
1651211425.610484,54.72,g
1651211426.6184866,54.73,g
1651211427.6208382,54.73,g
1651211428.6277654,54.73,g
1651211429.6333122,54.73,g
1651211430.644722,54.72,g
1651211431.648466,54.72,g
1651211432.6614244,54.72,g
1651211433.664057,54.72,g
1651211434.66499,54.72,g
1651211435.675084,54.72,g
1651211436.6848793,54.72,g
1651211437.6853583,54.72,g
time,scaleWeight,scaleUnit
1651211504.5537446,0.0,g
1651211505.566907,54.7,g
1651211506.5729434,54.7,g
1651211507.5823874,54.68,g
1651211508.5958374,54.68,g
1651211509.6033242,54.69,g
time,scaleWeight,scaleUnit
1651211518.423864,0.0,g
1651211519.42427,54.69,g
time,scaleWeight,scaleUnit
1651211717.7816663,0.0,g
1651211718.7921023,54.6,g
1651211719.796808,54.6,g
time,scaleWeight,scaleUnit
1651211735.6155937,0.0,g
1651211736.6157331,54.59,g
time,scaleWeight,scaleUnit
1651211740.0976136,0.0,g
1651211741.0993462,54.59,g
1651211742.0992763,54.6,g
1651211743.1102955,54.6,g
1651211744.1153808,54.6,g
time,scaleWeight,scaleUnit
1651211888.4456155,0.0,g
1651211889.4504495,54.53,g
1651211890.4633908,54.53,g
1651211891.469346,54.53,g
1651211892.483497,54.53,g
1651211893.4950464,54.53,g
1651211894.4959896,54.53,g
time,scaleWeight,scaleUnit
1651212024.8135931,0.0,g
1651212025.8262906,54.47,g
1651212026.831431,54.47,g
1651212027.8461163,54.47,g
1651212028.8585138,54.47,g
1651212029.8688483,7.69,g
1651212030.8818986,7.69,g
1651212031.8920023,54.83,g
1651212032.8967726,54.83,g
1651212033.904467,54.47,g
1651212034.9084938,54.47,g
1651212035.9191656,54.47,g
1651212036.9321644,54.46,g
1651212037.9466085,54.46,g
1651212038.9475322,54.46,g
1651212039.9532232,54.46,g
1651212040.9630778,54.46,g
1651212041.9702322,54.46,g
1651212042.9848785,54.46,g
1651212043.9891334,54.46,g
1651212044.9945874,54.46,g
1651212046.0055616,54.46,g
1651212047.007607,54.46,g
1651212048.02202,0.36,g
1651212049.024616,0.36,g
1651212050.0321577,54.44,g
time,scaleWeight,scaleUnit
1651212069.9600248,0.0,g
1651212070.9704602,54.44,g
1651212071.977239,54.44,g
1651212072.9902108,54.44,g
1651212074.004118,54.44,g
1651212075.0132642,54.44,g
1651212076.0176358,54.44,g
1651212077.0183115,54.44,g
1651212078.0219128,54.44,g
1651212079.023872,54.44,g
1651212080.0359938,54.44,g
time,scaleWeight,scaleUnit
1651212678.1739647,0.0,g
1651212679.183359,54.2,g
1651212680.1892743,54.2,g
time,scaleWeight,scaleUnit
1651213067.6789503,0.0,g
1651213068.6924386,54.07,g
1651213069.7009275,54.07,g
1651213070.7138395,54.06,g
1651213071.7156131,54.06,g
1651213072.7231371,54.06,g
1651213073.723992,54.06,g
1651213074.7310514,54.06,g
1651213075.731693,54.06,g
1651213076.736517,54.06,g
1651213077.7514381,54.06,g
1651213078.761906,54.06,g
1651213079.7628527,54.06,g
1651213080.7722166,54.06,g
1651213081.7837284,54.06,g
1651213082.7918549,54.06,g
1651213083.799812,54.06,g
1651213084.8098774,54.06,g
1651213085.8213294,54.06,g
1651213086.8283439,54.06,g
1651213087.8422592,54.06,g
1651213088.8557644,54.06,g
1651213089.8713274,54.06,g
1651213090.8725028,54.06,g
1651213091.8778367,54.06,g
1651213092.8816342,54.05,g
1651213093.894194,54.05,g
1651213094.9005315,54.05,g
1651213095.9158938,54.05,g
1651213096.922517,54.05,g
1651213097.936521,54.06,g
1651213098.9467425,54.06,g
1651213099.960195,54.06,g
1651213100.969547,54.06,g
1651213101.9748425,54.05,g
1651213102.9797087,54.05,g
1651213103.988373,54.05,g
1651213105.0007427,54.05,g
1651213106.0008247,54.05,g
1651213107.006437,54.05,g
1651213108.012072,54.05,g
1651213109.0129662,54.05,g
1651213110.0139174,54.05,g
1651213111.0168564,54.04,g
1651213112.025576,54.04,g
1651213113.0354996,54.05,g
1651213114.0509517,54.04,g
1651213115.053802,54.04,g
1651213116.0617266,54.04,g
1651213117.0678313,54.04,g
1651213118.0821655,54.04,g
1651213119.091839,54.04,g
1651213120.0955944,54.04,g
1651213121.100379,54.04,g
1651213122.1125479,54.04,g
1651213123.1192813,54.04,g
1651213124.1336083,54.04,g
1651213125.1439085,54.04,g
1651213126.1482565,54.04,g
1651213127.1622264,54.04,g
1651213128.1625986,54.04,g
1651213129.1739523,54.04,g
1651213130.1784928,54.04,g
1651213131.1816273,54.04,g
1651213132.1921718,54.04,g
1651213133.2032213,54.04,g
1651213134.2126296,54.04,g
1651213135.2268453,54.04,g
1651213136.2366753,54.04,g
1651213137.2487667,54.04,g
1651213138.261405,54.03,g
1651213139.2753725,54.03,g
1651213140.2862659,54.03,g
1651213141.288333,54.02,g
1651213142.2965593,54.03,g
1651213143.3103411,54.04,g
1651213144.3210618,54.04,g
1651213145.3245716,54.0,g
1651213146.3292077,54.02,g
1651213147.3418999,54.03,g
1651213148.3548486,54.03,g
1651213149.3584397,54.03,g
1651213150.3696058,54.03,g
1651213151.3817403,54.03,g
1651213152.3883893,54.03,g
1651213153.3946443,54.03,g
1651213154.3954365,54.03,g
1651213155.408829,54.03,g
1651213156.4152184,54.03,g
1651213157.4309893,54.03,g
1651213158.4417439,54.03,g
1651213159.4424484,54.03,g
1651213160.4432635,54.03,g
1651213161.443946,54.03,g
1651213162.4506404,54.03,g
1651213163.4507601,54.03,g
1651213164.4608788,54.03,g
1651213165.4669292,54.03,g
1651213166.47083,54.02,g
1651213167.482242,54.02,g
1651213168.486457,54.02,g
1651213169.4915109,54.02,g
1651213170.4917104,54.02,g
1651213171.4923007,54.02,g
1651213172.5034873,54.02,g
1651213173.5149944,54.02,g
1651213174.5217624,54.02,g
1651213175.5355022,54.02,g
1651213176.5494833,54.02,g
1651213177.5564258,54.02,g
1651213178.5573654,54.01,g
1651213179.558545,54.01,g
1651213180.5729232,54.02,g
1651213181.575915,54.01,g
1651213182.5763977,54.02,g
1651213183.5900645,54.02,g
1651213184.6013355,54.02,g
1651213185.605415,54.02,g
1651213186.616735,54.02,g
1651213187.6279647,54.02,g
1651213188.6417677,54.02,g
1651213189.6546175,54.02,g
1651213190.661604,54.02,g
1651213191.667929,54.02,g
1651213192.6795526,54.02,g
1651213193.6795845,54.02,g
1651213194.6898696,54.02,g
1651213195.695186,54.02,g
1651213196.697175,54.02,g
1651213197.7063954,54.02,g
1651213198.7101524,54.02,g
1651213199.7221935,54.02,g
1651213200.7346444,54.02,g
1651213201.7440424,54.02,g
1651213202.751939,54.02,g
1651213203.7539337,54.01,g
1651213204.7679322,54.01,g
1651213205.7808933,54.01,g
1651213206.7817755,54.01,g
1651213207.788091,54.01,g
1651213208.79132,54.01,g
1651213209.804039,54.01,g
1651213210.8050387,54.01,g
1651213211.8080401,54.01,g
1651213212.81204,54.01,g
1651213213.817444,54.01,g
1651213214.8205047,54.01,g
1651213215.821858,54.01,g
1651213216.8251433,54.01,g
1651213217.8327062,54.01,g
1651213218.8397346,54.01,g
1651213219.8398483,54.01,g
1651213220.8424048,54.01,g
1651213221.855474,54.01,g
1651213222.860009,54.01,g
1651213223.8627443,54.01,g
1651213224.8637278,54.01,g
1651213225.8708098,54.01,g
1651213226.880526,54.0,g
1651213227.883586,54.0,g
1651213228.8957894,54.0,g
1651213229.8963637,54.0,g
1651213230.9114568,54.0,g
1651213231.9221184,54.0,g
1651213232.9349015,54.0,g
1651213233.9364324,54.0,g
